Periodos,Consumo
1993/01,52.51160387
1993/02,53.2466883
1993/03,53.76482477
1993/04,53.20426243
1993/05,53.96376268
1993/06,53.57194134
1993/07,53.52020216
1993/08,53.26547268
1993/09,53.72520496
1993/10,53.78929218
1993/11,53.52075338
1993/12,56.04791867
1994/01,54.53821083
1994/02,54.88894333
1994/03,55.05220176
1994/04,56.06055103
1994/05,56.29129109
1994/06,56.71086247
1994/07,56.96660657
1994/08,57.23321747
1994/09,57.25970733
1994/10,57.48206243
1994/11,57.8470122
1994/12,57.12472501
1995/01,54.498167
1995/02,53.87982511
1995/03,53.25574357
1995/04,52.72546227
1995/05,52.20564582
1995/06,52.59847151
1995/07,52.62148836
1995/08,52.78919604
1995/09,52.83469459
1995/10,52.59025225
1995/11,52.94672833
1995/12,53.96084871
1996/01,53.7119405
1996/02,53.5246314
1996/03,54.58169133
1996/04,53.76857861
1996/05,54.2107824
1996/06,54.40982846
1996/07,54.80532044
1996/08,54.94306147
1996/09,55.45750351
1996/10,55.98118499
1996/11,56.19845801
1996/12,56.57916787
1997/01,56.59256538
1997/02,57.66223474
1997/03,57.2492554
1997/04,58.41397987
1997/05,58.53779812
1997/06,59.36966243
1997/07,59.1780918
1997/08,59.77036439
1997/09,59.98734152
1997/10,60.6075565
1997/11,61.21877642
1997/12,60.92918044
1998/01,61.68982801
1998/02,62.4871933
1998/03,63.53917131
1998/04,62.79840683
1998/05,63.43873163
1998/06,63.08428442
1998/07,63.1089953
1998/08,63.49746238
1998/09,63.37035551
1998/10,63.65307942
1998/11,63.65597536
1998/12,63.98593205
1999/01,63.79255632
1999/02,63.95094443
1999/03,64.18247307
1999/04,64.89076943
1999/05,65.28568029
1999/06,65.28733707
1999/07,66.19794868
1999/08,66.60877208
1999/09,67.03528528
1999/10,67.05097596
1999/11,67.50597339
1999/12,68.42268035
2000/01,69.61133058
2000/02,69.85749865
2000/03,69.93093448
2000/04,70.43226787
2000/05,71.09564207
2000/06,71.39613176
2000/07,72.4225247
2000/08,72.16437107
2000/09,72.65571564
2000/10,73.46747963
2000/11,73.60034042
2000/12,73.01180749
2001/01,73.33798714
2001/02,73.1313635
2001/03,73.23827605
2001/04,73.00141153
2001/05,73.19651284
2001/06,74.55823429
2001/07,73.32183756
2001/08,73.73820519
2001/09,74.03085806
2001/10,73.81666469
2001/11,73.93010572
2001/12,74.22819729
2002/01,73.98216446
2002/02,73.11482971
2002/03,74.87281511
2002/04,75.20107526
2002/05,75.06762315
2002/06,75.34602225
2002/07,74.93085673
2002/08,75.06197048
2002/09,75.10870587
2002/10,75.45033218
2002/11,74.69539767
2002/12,74.58432075
2003/01,75.58691736
2003/02,75.63481492
2003/03,75.84618382
2003/04,76.23290051
2003/05,76.02153237
2003/06,76.56706936
2003/07,77.00658586
2003/08,76.20768329
2003/09,76.42859629
2003/10,76.42978989
2003/11,76.71196123
2003/12,77.79457911
2004/01,76.4299373
2004/02,77.40441599
2004/03,78.05509059
2004/04,77.7033713
2004/05,77.72173551
2004/06,77.77677867
2004/07,77.97515598
2004/08,78.43407584
2004/09,78.29024986
2004/10,78.17065047
2004/11,79.46718022
2004/12,79.25454322
2005/01,79.47796135
2005/02,78.83532112
2005/03,78.62961451
2005/04,78.91070081
2005/05,79.42808865
2005/06,78.790181
2005/07,79.51970984
2005/08,80.04963517
2005/09,80.80449167
2005/10,80.98837837
2005/11,81.01398021
2005/12,81.52661807
2006/01,82.52093803
2006/02,82.30228204
2006/03,82.2143828
2006/04,83.10897927
2006/05,83.31949121
2006/06,83.72951159
2006/07,83.69493231
2006/08,83.83861904
2006/09,84.08656111
2006/10,84.22448374
2006/11,84.2859655
2006/12,84.01480841
2007/01,83.30037534
2007/02,83.68717907
2007/03,84.29394406
2007/04,84.14307007
2007/05,84.2684657
2007/06,84.92989582
2007/07,83.75923313
2007/08,84.61716742
2007/09,84.50557739
2007/10,85.05090807
2007/11,84.84209432
2007/12,84.11523888
2008/01,85.22647527
2008/02,85.95495084
2008/03,85.4913644
2008/04,85.87044256
2008/05,86.24432706
2008/06,86.62749894
2008/07,86.73525563
2008/08,85.6769387
2008/09,85.13575082
